Java HotSpot(TM) 64-Bit Server VM (25.91-b14) for bsd-amd64 JRE (1.8.0_91-b14), built on Apr  1 2016 01:03:00 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(572212k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=524288 -XX:NewSize=524288 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
0.992: [GC (Allocation Failure) 0.992: [DefNew: 447K->63K(448K), 0.0025661 secs] 18414K->18410K(1048512K), 0.0026319 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.003: [GC (Allocation Failure) 1.003: [DefNew: 447K->64K(448K), 0.0018575 secs] 18794K->18787K(1048512K), 0.0019193 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.015: [GC (Allocation Failure) 1.015: [DefNew: 448K->64K(448K), 0.0016382 secs] 19171K->19166K(1048512K), 0.0017028 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.025: [GC (Allocation Failure) 1.025: [DefNew: 448K->63K(448K), 0.0032136 secs] 19550K->19546K(1048512K), 0.0033631 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
1.036: [GC (Allocation Failure) 1.036: [DefNew: 447K->63K(448K), 0.0016258 secs] 19930K->19924K(1048512K), 0.0016858 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.047: [GC (Allocation Failure) 1.047: [DefNew: 447K->63K(448K), 0.0019592 secs] 20308K->20302K(1048512K), 0.0020280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.059: [GC (Allocation Failure) 1.059: [DefNew: 447K->63K(448K), 0.0018455 secs] 20686K->20682K(1048512K), 0.0019179 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.069: [GC (Allocation Failure) 1.069: [DefNew: 447K->63K(448K), 0.0019242 secs] 21066K->21058K(1048512K), 0.0019943 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.081: [GC (Allocation Failure) 1.081: [DefNew: 447K->63K(448K), 0.0019034 secs] 21442K->21437K(1048512K), 0.0019751 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.091: [GC (Allocation Failure) 1.091: [DefNew: 447K->63K(448K), 0.0027708 secs] 21821K->21818K(1048512K), 0.0028854 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.104: [GC (Allocation Failure) 1.104: [DefNew: 447K->63K(448K), 0.0019302 secs] 22202K->22198K(1048512K), 0.0019997 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.116: [GC (Allocation Failure) 1.116: [DefNew: 447K->63K(448K), 0.0019650 secs] 22582K->22575K(1048512K), 0.0020423 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.126: [GC (Allocation Failure) 1.126: [DefNew: 447K->64K(448K), 0.0019551 secs] 22959K->22954K(1048512K), 0.0020243 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.138: [GC (Allocation Failure) 1.138: [DefNew: 448K->64K(448K), 0.0021689 secs] 23338K->23334K(1048512K), 0.0022435 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.149: [GC (Allocation Failure) 1.149: [DefNew: 448K->63K(448K), 0.0016797 secs] 23718K->23712K(1048512K), 0.0017383 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.159: [GC (Allocation Failure) 1.159: [DefNew: 447K->64K(448K), 0.0018362 secs] 24096K->24091K(1048512K), 0.0019090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.169: [GC (Allocation Failure) 1.169: [DefNew: 448K->64K(448K), 0.0018672 secs] 24475K->24468K(1048512K), 0.0019333 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.180: [GC (Allocation Failure) 1.180: [DefNew: 448K->63K(448K), 0.0017758 secs] 24852K->24847K(1048512K), 0.0018511 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.191: [GC (Allocation Failure) 1.191: [DefNew: 447K->63K(448K), 0.0024227 secs] 25231K->25227K(1048512K), 0.0025008 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.202: [GC (Allocation Failure) 1.202: [DefNew: 447K->63K(448K), 0.0016480 secs] 25611K->25605K(1048512K), 0.0017169 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.211: [GC (Allocation Failure) 1.211: [DefNew: 447K->64K(448K), 0.0014232 secs] 25989K->25983K(1048512K), 0.0014684 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.222: [GC (Allocation Failure) 1.222: [DefNew: 448K->63K(448K), 0.0023728 secs] 26367K->26363K(1048512K), 0.0024488 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.234: [GC (Allocation Failure) 1.234: [DefNew: 447K->63K(448K), 0.0018453 secs] 26747K->26741K(1048512K), 0.0019036 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.244: [GC (Allocation Failure) 1.244: [DefNew: 447K->63K(448K), 0.0020322 secs] 27125K->27121K(1048512K), 0.0020991 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.256: [GC (Allocation Failure) 1.256: [DefNew: 447K->63K(448K), 0.0022725 secs] 27505K->27500K(1048512K), 0.0023501 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.269: [GC (Allocation Failure) 1.269: [DefNew: 447K->64K(448K), 0.0043381 secs] 27884K->27876K(1048512K), 0.0045659 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.283: [GC (Allocation Failure) 1.283: [DefNew: 448K->63K(448K), 0.0031384 secs] 28260K->28255K(1048512K), 0.0032878 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.297: [GC (Allocation Failure) 1.297: [DefNew: 447K->63K(448K), 0.0043241 secs] 28639K->28635K(1048512K), 0.0044395 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.311: [GC (Allocation Failure) 1.311: [DefNew: 447K->63K(448K), 0.0030502 secs] 29019K->29015K(1048512K), 0.0031732 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.326: [GC (Allocation Failure) 1.326: [DefNew: 447K->63K(448K), 0.0030338 secs] 29911K->29905K(1048512K), 0.0030902 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.338: [GC (Allocation Failure) 1.338: [DefNew: 447K->63K(448K), 0.0014489 secs] 30289K->30284K(1048512K), 0.0014951 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.351: [GC (Allocation Failure) 1.351: [DefNew: 447K->64K(448K), 0.0019411 secs] 30668K->30662K(1048512K), 0.0020076 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.362: [GC (Allocation Failure) 1.362: [DefNew: 448K->64K(448K), 0.0019820 secs] 31046K->31040K(1048512K), 0.0020492 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.374: [GC (Allocation Failure) 1.374: [DefNew: 448K->64K(448K), 0.0015492 secs] 31424K->31417K(1048512K), 0.0016052 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.384: [GC (Allocation Failure) 1.384: [DefNew: 448K->63K(448K), 0.0018916 secs] 31801K->31796K(1048512K), 0.0019515 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.396: [GC (Allocation Failure) 1.396: [DefNew: 447K->63K(448K), 0.0015191 secs] 32180K->32176K(1048512K), 0.0015728 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.408: [GC (Allocation Failure) 1.408: [DefNew: 447K->63K(448K), 0.0015524 secs] 32560K->32554K(1048512K), 0.0016000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.417: [GC (Allocation Failure) 1.417: [DefNew: 447K->64K(448K), 0.0016933 secs] 32938K->32933K(1048512K), 0.0017413 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.429: [GC (Allocation Failure) 1.429: [DefNew: 448K->63K(448K), 0.0018354 secs] 33317K->33312K(1048512K), 0.0018860 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.440: [GC (Allocation Failure) 1.440: [DefNew: 447K->63K(448K), 0.0015341 secs] 33696K->33690K(1048512K), 0.0015917 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.452: [GC (Allocation Failure) 1.452: [DefNew: 447K->64K(448K), 0.0015183 secs] 34074K->34070K(1048512K), 0.0015718 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.463: [GC (Allocation Failure) 1.463: [DefNew: 448K->64K(448K), 0.0014233 secs] 34454K->34450K(1048512K), 0.0014649 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.474: [GC (Allocation Failure) 1.474: [DefNew: 448K->63K(448K), 0.0016723 secs] 34834K->34828K(1048512K), 0.0017200 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.485: [GC (Allocation Failure) 1.485: [DefNew: 447K->64K(448K), 0.0016324 secs] 35212K->35204K(1048512K), 0.0016827 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.496: [GC (Allocation Failure) 1.496: [DefNew: 448K->63K(448K), 0.0016223 secs] 35588K->35583K(1048512K), 0.0016689 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.507: [GC (Allocation Failure) 1.507: [DefNew: 447K->63K(448K), 0.0017127 secs] 35967K->35962K(1048512K), 0.0017663 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.518: [GC (Allocation Failure) 1.518: [DefNew: 447K->63K(448K), 0.0021529 secs] 36346K->36340K(1048512K), 0.0022122 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.530: [GC (Allocation Failure) 1.530: [DefNew: 447K->63K(448K), 0.0022654 secs] 36724K->36718K(1048512K), 0.0023401 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.542: [GC (Allocation Failure) 1.542: [DefNew: 447K->64K(448K), 0.0029555 secs] 37102K->37093K(1048512K), 0.0030219 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.554: [GC (Allocation Failure) 1.554: [DefNew: 448K->63K(448K), 0.0017336 secs] 37477K->37467K(1048512K), 0.0017850 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.565: [GC (Allocation Failure) 1.565: [DefNew: 447K->64K(448K), 0.0032912 secs] 37851K->37840K(1048512K), 0.0033637 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
